,name,r_avg,a_avg
0, 딘 데블로이스,9.0875,2360000.0
1, 페르난도 메이렐레스,8.986666666666666,9573.25
2, 패트리시아 리건,8.85,39333.333333333336
3, 장안치,NULL,NULL
4, 스테파노 솔리마,7.89,112404.5
5, 라즐로 네메스,8.68,24000.0
6, 이경미,7.505000000000001,1655000.0
7, 디파 메타,7.925,1768.5
8, 루 추안,8.58,8722.0
9, 벤 차오,NULL,NULL
10, 일리야 나이슐러,7.43,88000.0
11, 리테쉬 바트라,8.24,28500.0
12, 타케모토 노보루,8.0525,95333.33333333333
13, 프라순 샤터지,NULL,NULL
14, 라나 워쇼스키,7.986666666666667,660000.0
15, 임대웅,6.640000000000001,333333.3333333333
16, 정윤철,7.4975000000000005,440393.75
17, 윤제균,8.824285714285713,5392857.142857143
18, 배성상,8.93,36000.0
19, 애덤 윈가드,7.453333333333333,253333.33333333334
20, 맥지,7.7299999999999995,88546.0
21, 오치아이 켄,NULL,387.0
22, 존 어윈,9.08,35000.0
23, 조용선,NULL,NULL
24, 권칠인,7.57,481490.2
25, 지안밍 후앙,NULL,NULL
26, 피터 시걸,8.280000000000001,148666.66666666666
27, 안나 포드칼스카,NULL,NULL
28, 와타다 신야,NULL,NULL
29, 구모,6.223333333333334,5794.333333333333
30, 코지마 마사유키,8.425,28500.0
31, 롭 마샬,7.533333333333334,1004000.0
32, 김유성,6.6,199333.33333333334
33, 진,NULL,NULL
34, 이종석,8.462,5224200.0
35, 나카자와 쇼지로,8.655000000000001,42500.0
36, 피터 뮬란,7.87,9777.333333333334
37, 알레산드로 칼로니,8.78,3980000.0
38, 미나,NULL,NULL
39, 존 추,NULL,NULL
40, 마이클 도즈,7.67,28000.0
41, 주드 아패토우,8.576666666666668,1169666.6666666667
42, 은정,NULL,NULL
43, 존 크래신스키,NULL,NULL
44, 조 존스톤,7.2219999999999995,327500.0
45, 캐스린 비글로우,NULL,NULL
46, 크리스토퍼 젠킨스,NULL,NULL
47, 김대웅,6.42,770000.0
48, 다니엘 래드클리프,NULL,NULL
49, 커트 보엘커,NULL,NULL
50, 로버트 페르난데스,NULL,NULL
51, 핀 테일러,8.16,28000.0
52, 이원태,7.895,1368333.3333333333
53, 이한욱,NULL,NULL
54, 우문기,8.258333333333335,470400.0
55, 배두나,NULL,NULL
56, 카메론 디아즈,NULL,NULL
57, 미카엘 하프스트롬,8.085999999999999,214000.0
58, 알렉스 프로야스,8.219999999999999,1016666.6666666666
59, 하야토 다테,NULL,NULL
60, 황연,NULL,NULL
61, 테미 데이비스,7.465,20000.0
62, 신연식,8.5025,295564.0
63, 이성태,7.016,498200.0
64, 카와나미 에이사쿠,NULL,NULL
65, 브렉 에이즈너,6.4174999999999995,167578.0
66, 크리스찬 거드게스트,7.223333333333334,379000.0
67, 이시다 히로야스,7.27,35000.0
68, 세스 라니,3.65,509.0
69, 사이먼 커티스,7.746666666666667,55862.0
70, 동대가,7.71,24000.0
71, 박희곤,7.13,1470000.0
72, 한석규,NULL,NULL
73, 안느 퐁텐,6.624,18260.4
74, 막심 볼코브,NULL,NULL
75, 타치카와 유즈루,NULL,NULL
76, 안소니 마라스,NULL,NULL
77, 댄 세인트 피에르,8.708333333333334,590000.0
78, 김지훈,6.698571428571428,3125000.0
79, 마이클 스피어리그,7.165000000000001,82980.0
80, 나가이 타츠유키,8.615,30062.666666666668
81, 셰인 블랙,7.803333333333334,3064666.6666666665
82, 김태윤,NULL,NULL
83, 브라이언 A 밀러,NULL,NULL
84, 추창민,8.201428571428572,3514000.0
85, 이수연,6.935,601319.5
86, 김성호,7.418333333333333,134176.66666666666
87, 알렉세이 트시칠린,8.13,393333.3333333333
88, 토머스 보덴스테인,7.403333333333333,30301.333333333332
89, 필립 세이모어 호프만,NULL,NULL
90, 김아론,7.43,177826.75
91, 올리버 달리,NULL,NULL
